# GREEN — fixed source @ origin/main 324cd9b09 (= release v2.5.0), cwd=framework/ (the CI cwd)
# scope: shell/auth + shell/components/change-password (the 4 components PR #296 touched)

 ✓ |unit| shell/auth/utils.test.ts > resolveSafeRedirectPath > returns '/' for null 1ms
 ✓ |unit| shell/auth/InvitePage/components/invite/Invite.test.ts > Invite.vue > pairs the invited username with both new-password fields for autofill 3ms
 ✓ |unit| shell/auth/LoginPage/components/login/Login.test.ts > Login.vue > renders the component 29ms
 ✓ |unit| shell/auth/LoginPage/components/login/Login.test.ts > Login.vue > renders login form fields 8ms
 ✓ |unit| shell/auth/LoginPage/components/login/Login.test.ts > Login.vue > renders login and forgot-password buttons 5ms
 ✓ |unit| shell/auth/LoginPage/components/login/Login.test.ts > Login.vue > does not show error hint when signInResult.succeeded is true 3ms
 ✓ |unit| shell/auth/LoginPage/components/login/Login.test.ts > Login.vue > hides form when ssoOnly prop is true 3ms
 ✓ |unit| shell/auth/LoginPage/components/login/Login.test.ts > Login.vue > passes logo and background props 3ms
 ✓ |unit| shell/auth/LoginPage/components/login/Login.test.ts > Login.vue > passes custom title and subtitle 2ms
 ✓ |unit| shell/auth/LoginPage/components/login/Login.test.ts > Login.vue > redirects to safe internal path after successful login 4ms
 ✓ |unit| shell/auth/LoginPage/components/login/Login.test.ts > Login.vue > falls back to root path for unsafe redirect after successful login 3ms
 Test Files  10 passed (10)
      Tests  83 passed (83)
