Section,Title,Type,Priority,Estimate,References,Preconditions,Steps,Expected Result
"VCST-4499 BOPIS Map Modal","TC-011: Performance Testing","Functional","Medium","15m","VCST-4499, PR-2138","- Test environments with varying location counts
- Browser dev tools for performance monitoring
- Network throttling capability","Test with 1-5 locations:
1. Measure modal open time (should be instant)
2. Measure search response time
3. Measure filter response time
4. Verify 60fps smooth interactions

Test with 10-50 locations:
5. Measure modal open time (should be <1s)
6. Test search performance
7. Test filter performance
8. Verify smooth map pan/zoom

Test with 50-100 locations:
9. Measure modal open time (should be <2s)
10. Verify acceptable performance
11. Check memory usage (dev tools)
12. Monitor network requests

Test with 100+ locations:
13. Verify map clustering or pagination
14. Check for memory leaks
15. Verify reasonable API call count","Performance targets:
- 1-5 locations: Instant load, immediate interactions
- 10-50 locations: <1s load, smooth 60fps interactions
- 50-100 locations: <2s load, acceptable smooth interaction
- 100+ locations: Map clustering active or pagination
- No memory leaks detected
- Reasonable API call count (not excessive)
- Smooth 60fps for pan/zoom at all counts
- Search/filter response <500ms
- Modal opens within acceptable timeframes"
"VCST-4499 BOPIS Map Modal","TC-012: Error Handling & Edge Cases","Functional","Medium","15m","VCST-4499, PR-2138","- Ability to simulate various error conditions
- Test data with edge cases
- Network throttling tools","1. Open modal with zero locations configured
2. Verify appropriate empty state message
3. Block Google Maps API (simulate failure)
4. Verify graceful fallback or error message
5. Deny browser geolocation permission
6. Verify app continues without geolocation
7. Test location with invalid coordinates
8. Verify error handled, no crash
9. Disconnect network during search
10. Verify appropriate error message shown
11. Throttle network to slow 3G
12. Verify loading states display
13. Test location with 200+ character name
14. Verify text truncated or wrapped appropriately
15. Test location with special characters/emojis
16. Verify displays correctly
17. Simulate concurrent user selections (if possible)
18. Verify no conflicts","- Empty state handled gracefully with clear message
- Map API failure shows fallback or error (no blank crash)
- Geolocation denial does not block functionality
- Invalid coordinates handled without crash
- Network errors show clear error messages
- Slow connection shows loading indicators
- Long names truncated/wrapped without breaking layout
- Special characters and emojis display correctly
- No crashes in any error scenario
- User can recover from all error states
- Error messages are clear and actionable
- Graceful degradation in all scenarios"
"VCST-4499 BOPIS Map Modal","TC-013: Browser Compatibility","Functional","High","25m","VCST-4499, PR-2138","- Access to Chrome, Firefox, Safari, Edge browsers
- Latest browser versions
- Mobile devices or emulators for Safari iOS and Chrome Android","For Chrome (Desktop & Android):
1. Run TC-001 (Map Stability)
2. Run TC-002 (Desktop Flow)
3. Run TC-003 (Mobile Toggle)
4. Run TC-004 (Search)
5. Run TC-006 (Map Interactions)
6. Run TC-007 (Location Card)
7. Verify all features work correctly

For Firefox (Desktop):
8. Repeat steps 1, 2, 4, 6, 7

For Safari (Desktop & iOS):
9. Repeat steps 1, 2, 3, 4, 6, 7

For Edge (Desktop):
10. Repeat steps 1, 2, 4, 6, 7

Compare appearance and behavior across all browsers","- All functionality works in Chrome (desktop & mobile)
- All functionality works in Firefox
- All functionality works in Safari (desktop & iOS)
- All functionality works in Edge
- No browser-specific bugs
- Consistent appearance across browsers (minor differences acceptable)
- Map loads and works in all browsers
- Animations smooth in all browsers
- No console errors in any browser
- Touch events work on mobile browsers
- Performance acceptable in all browsers"
"VCST-4499 BOPIS Map Modal","TC-014: Accessibility Testing","Functional","Medium","20m","VCST-4499, PR-2138","- Screen reader software (NVDA, JAWS, or VoiceOver)
- Keyboard only (no mouse)
- axe DevTools browser extension","1. Open modal using keyboard only (Tab/Enter)
2. Verify modal opens and focus moves to modal
3. Tab through all interactive elements in modal
4. Verify visible focus indicators on all elements
5. Verify logical tab order (top to bottom, left to right)
6. Verify can search using keyboard
7. Verify can select location using keyboard
8. Verify can confirm selection using keyboard
9. Verify Escape key closes modal
10. Start screen reader (NVDA/JAWS/VoiceOver)
11. Verify modal announced when opened
12. Verify location list items announced correctly
13. Verify buttons and controls announced with roles
14. Verify form fields have proper labels
15. Run axe DevTools scan
16. Verify no critical violations
17. Check color contrast ratios
18. Verify meets WCAG AA standards","- Modal fully keyboard accessible
- Tab order logical and complete
- Focus indicators visible on all interactive elements
- Can complete full flow without mouse
- Screen reader announces all content appropriately
- ARIA labels present on custom controls
- Form fields properly labeled
- Error messages announced to screen readers
- Modal role/title announced
- axe DevTools: 0 critical violations
- Color contrast meets WCAG AA (4.5:1 for text)
- Can skip to main content
- Focus trapped in modal when open
- Focus returns appropriately when closed"
"VCST-4499 BOPIS Map Modal","TC-015: Integration Testing","Functional","High","12m","VCST-4499, PR-2138","- Full cart and checkout flow enabled
- Ability to complete orders
- Session persistence enabled","1. Add products to cart
2. Verify cart updated correctly
3. Select pickup location using modal
4. Verify location set in cart
5. Verify cart displays selected location details
6. Change pickup location to different one
7. Verify cart updates with new location
8. Proceed to checkout
9. Verify checkout page loads
10. Verify pickup location information in checkout
11. Complete order (if possible in test env)
12. Verify order confirmation includes pickup details
13. Return to cart
14. Switch from Pickup to Delivery
15. Verify pickup location cleared
16. Switch back to Pickup
17. Verify can select location again
18. Refresh page
19. Verify pickup location persists (if session maintained)","- Products add to cart correctly
- Pickup location selection integrates with cart
- Selected location visible in cart with details
- Changing location updates cart immediately
- Checkout receives pickup location data
- Pickup information persists through checkout
- Order confirmation shows pickup details
- Can switch between delivery methods
- Pickup location clears when switching to delivery
- Can re-select location after switching back
- Data persists appropriately with session
- No data loss between components
- Complete flow cart → location → checkout → order works
- Integration seamless throughout"
"VCST-4499 Regression","REG-001: Standard Delivery Flow","Regression","High","8m","VCST-4499","- Test environment with PR #2138 deployed
- Cart has products","1. Add products to cart
2. Navigate to cart page
3. Verify ""Delivery"" option available
4. Select ""Delivery"" option
5. Enter shipping address
6. Verify address form works correctly
7. Verify address validation works
8. Save shipping address
9. Verify address displays in cart
10. Proceed to checkout
11. Verify checkout works with delivery","- Delivery option available and selectable
- Shipping address form works as before
- Address validation unchanged
- Address saves correctly
- Delivery flow unaffected by pickup changes
- Checkout works normally with delivery
- No regression in standard delivery flow"
"VCST-4499 Regression","REG-002: Cart Operations","Regression","High","5m","VCST-4499","- Test environment accessible
- Product catalog available","1. Add item to cart
2. Verify item appears in cart
3. Change quantity of item
4. Verify quantity updates
5. Remove item from cart
6. Verify item removed
7. Add multiple items
8. Verify all items appear
9. Apply coupon code (if available)
10. Verify cart total calculations correct","- Add to cart works normally
- Quantity updates work
- Remove from cart works
- Multiple items handled correctly
- Cart calculations accurate
- No regression in basic cart operations"
"VCST-4499 Regression","REG-003: Other Modals/Dialogs","Regression","Medium","5m","VCST-4499","- Access to other modal/dialog features","1. Open various other modals in application
2. Verify they open correctly
3. Verify they close correctly
4. Verify scroll behavior correct
5. Test quick view modal (if exists)
6. Test login/signup modal (if exists)
7. Verify modal changes don't affect others","- All other modals/dialogs work normally
- VcModal and VcDialogContent changes don't break others
- Scroll behavior correct in all modals
- No regression in other dialog functionality"
"VCST-4499 Regression","REG-004: Checkout Flow","Regression","High","10m","VCST-4499","- Cart has products
- Able to proceed through checkout","1. Add products to cart
2. Proceed to checkout
3. Enter/confirm shipping information
4. Proceed to payment
5. Enter payment information (test mode)
6. Complete order
7. Verify order confirmation
8. Verify order in order history","- Can access checkout
- Shipping step works normally
- Payment step works normally
- Order completion works
- Order confirmation displays
- No regression in checkout flow
- Delivery orders work correctly"
"VCST-4499 Regression","REG-005: Payment Processing","Regression","High","8m","VCST-4499","- Checkout accessible
- Test payment methods configured","1. Proceed to checkout with items
2. Select payment method
3. Enter payment details (test mode)
4. Submit payment
5. Verify payment processing
6. Verify order completed
7. Test multiple payment methods if available","- Payment methods available
- Payment forms work correctly
- Payment processing completes
- Order finalizes successfully
- No regression in payment functionality"
"VCST-4499 Regression","REG-006: Order History","Regression","Medium","5m","VCST-4499","- User account with previous orders
- Previous pickup orders exist (if possible)","1. Log in to account
2. Navigate to order history
3. Verify orders display
4. View order details for pickup order
5. Verify pickup location info displays
6. View order details for delivery order
7. Verify delivery address displays","- Order history accessible
- Orders display correctly
- Pickup orders show pickup location details
- Delivery orders show delivery address
- Order details load correctly
- No regression in order history display"
"VCST-4499 BOPIS Map Modal","BUG-001: Pickup Map Width After Search (VCST-4518)","Defect Verification","Critical","10m","VCST-4499, VCST-4518, PR-2138","- PR #2138 deployed to test environment
- Test URL: https://vcst-qa-storefront.govirto.com
- Cart contains at least one product
- Multiple pickup locations configured","1. Add product to cart and navigate to cart page
2. Select ""Pickup"" under SHIPPING DETAILS
3. Click ""Select pickup address"" button
4. Verify ""Pick points"" modal opens with list (left) and map (right)
5. Measure initial map width - verify approximately 50% of modal width
6. Enter search term ""Westent foxpost"" in search field
7. Click Search button
8. Verify ""Pickup points not found"" message displays
9. **CRITICAL CHECK:** Verify map maintains at least 40-50% of modal width (not ~30% or less)
10. Verify map remains usable and visible
11. Click ""Reset search"" button
12. Verify map returns to normal width (~50%)
13. Enter search term ""South Schuylershire"" in search field
14. Click Search button
15. Verify one location result displays
16. **CRITICAL CHECK:** Verify map maintains at least 40-50% of modal width with valid results
17. Click on ""South Schuylershire"" location in list
18. Verify ""Pick point info"" card opens
19. **CRITICAL CHECK:** Verify info card has sufficient space and readable layout
20. Verify map width remains stable throughout all operations","**EXPECTED (AFTER FIX):**
- Initial state: Map occupies ~50% of modal width
- After empty search: Map maintains at least 40-50% width
- After valid search: Map maintains at least 40-50% width
- After reset: Map returns to ~50% width
- Info card: Opens with sufficient space, readable content
- Map never becomes unusably narrow (<40% width)
- List/empty state capped at reasonable width (max 350-400px)

**BUG BEHAVIOR (BEFORE FIX - VCST-4518):**
- Initial: ✅ Map OK (~50% width)
- After ""Westent foxpost"": ❌ Map narrow (~30% width)
- After reset: ✅ Map restored (~50% width)
- After ""South Schuylershire"": ❌ Map narrow (~30% width)
- Info card: ❌ Layout constrained, overlays narrow map
- Root cause: CSS layout - list takes excessive width, map lacks min-width
- Evidence: Reports/BUG-Pickup-Map-*.png (5 screenshots)
- Jira: VCST-4518 Comment ID 87266"
